time,edge,density,speed,waiting,mode,congestion
18,N6_N5,0,13.9,0.0,0,0
18,N6_N9,0,13.9,0.0,0,0
18,N7_N4,0,13.9,0.0,0,0
18,N7_N8,1,7.844675670156722,0.0,0,0
18,N8_N5,0,13.9,0.0,0,0
18,N8_N7,0,13.9,0.0,0,0
18,N8_N9,0,13.9,0.0,0,0
18,N9_N6,0,13.9,0.0,0,0
18,N9_N8,0,13.9,0.0,0,0
19,N1_N2,5,11.94050339976784,0.0,0,0
19,N1_N4,7,10.518388570608485,0.0,0,0
19,N2_N1,0,13.9,0.0,0,0
19,N2_N3,0,13.9,0.0,0,0
19,N2_N5,0,13.9,0.0,0,0
19,N3_N2,0,13.9,0.0,0,0
19,N3_N6,7,10.970588658587994,0.0,0,0
19,N4_N1,0,13.9,0.0,0,0
19,N4_N5,0,13.9,0.0,0,0
19,N4_N7,0,13.9,0.0,0,0
19,N5_N2,0,13.9,0.0,0,0
19,N5_N4,0,13.9,0.0,0,0
19,N5_N6,0,13.9,0.0,0,0
19,N5_N8,0,13.9,0.0,0,0
19,N6_N3,0,13.9,0.0,0,0
19,N6_N5,0,13.9,0.0,0,0
19,N6_N9,0,13.9,0.0,0,0
19,N7_N4,0,13.9,0.0,0,0
19,N7_N8,1,8.83061798044946,0.0,0,0
19,N8_N5,0,13.9,0.0,0,0
19,N8_N7,0,13.9,0.0,0,0
19,N8_N9,0,13.9,0.0,0,0
19,N9_N6,0,13.9,0.0,0,0
19,N9_N8,0,13.9,0.0,0,0
20,N1_N2,6,10.8656310514913,0.0,0,0
20,N1_N4,7,10.871503759640715,0.0,0,0
20,N2_N1,0,13.9,0.0,0,0
20,N2_N3,0,13.9,0.0,0,0
20,N2_N5,0,13.9,0.0,0,0
20,N3_N2,0,13.9,0.0,0,0
20,N3_N6,7,11.398092279453166,0.0,0,0
20,N4_N1,0,13.9,0.0,0,0
20,N4_N5,0,13.9,0.0,0,0
20,N4_N7,0,13.9,0.0,0,0
20,N5_N2,0,13.9,0.0,0,0
20,N5_N4,0,13.9,0.0,0,0
20,N5_N6,0,13.9,0.0,0,0
20,N5_N8,0,13.9,0.0,0,0
20,N6_N3,0,13.9,0.0,0,0
20,N6_N5,0,13.9,0.0,0,0
20,N6_N9,0,13.9,0.0,0,0
20,N7_N4,0,13.9,0.0,0,0
20,N7_N8,1,9.692873111146037,0.0,0,0
20,N8_N5,0,13.9,0.0,0,0
20,N8_N7,0,13.9,0.0,0,0
20,N8_N9,0,13.9,0.0,0,0
20,N9_N6,0,13.9,0.0,0,0
20,N9_N8,0,13.9,0.0,0,0
21,N1_N2,6,11.2642318696106,0.0,0,0
21,N1_N4,8,9.914871147833601,0.0,0,0
21,N2_N1,0,13.9,0.0,0,0
21,N2_N3,0,13.9,0.0,0,0
21,N2_N5,0,13.9,0.0,0,0
21,N3_N2,0,13.9,0.0,0,0
21,N3_N6,7,11.850560339773992,0.0,0,0
21,N4_N1,0,13.9,0.0,0,0
21,N4_N5,0,13.9,0.0,0,0
21,N4_N7,0,13.9,0.0,0,0
21,N5_N2,0,13.9,0.0,0,0
21,N5_N4,0,13.9,0.0,0,0
21,N5_N6,0,13.9,0.0,0,0
21,N5_N8,0,13.9,0.0,0,0
21,N6_N3,0,13.9,0.0,0,0
21,N6_N5,0,13.9,0.0,0,0
21,N6_N9,0,13.9,0.0,0,0
21,N7_N4,0,13.9,0.0,0,0
21,N7_N8,1,10.639311801502483,0.0,0,0
21,N8_N5,0,13.9,0.0,0,0
21,N8_N7,0,13.9,0.0,0,0
21,N8_N9,0,13.9,0.0,0,0
21,N9_N6,0,13.9,0.0,0,0
21,N9_N8,0,13.9,0.0,0,0
22,N1_N2,6,11.644804142304057,0.0,0,0
22,N1_N4,8,10.362964178365809,0.0,0,0
22,N2_N1,0,13.9,0.0,0,0
22,N2_N3,0,13.9,0.0,0,0
22,N2_N5,0,13.9,0.0,0,0
22,N3_N2,0,13.9,0.0,0,0
22,N3_N6,7,12.22736487369686,0.0,0,0
22,N4_N1,0,13.9,0.0,0,0
22,N4_N5,0,13.9,0.0,0,0
22,N4_N7,0,13.9,0.0,0,0
22,N5_N2,0,13.9,0.0,0,0
22,N5_N4,0,13.9,0.0,0,0
22,N5_N6,0,13.9,0.0,0,0
22,N5_N8,0,13.9,0.0,0,0
22,N6_N3,0,13.9,0.0,0,0
22,N6_N5,0,13.9,0.0,0,0
22,N6_N9,0,13.9,0.0,0,0
22,N7_N4,0,13.9,0.0,0,0
22,N7_N8,1,11.729695938795341,0.0,0,0
22,N8_N5,0,13.9,0.0,0,0
22,N8_N7,0,13.9,0.0,0,0
22,N8_N9,0,13.9,0.0,0,0
22,N9_N6,0,13.9,0.0,0,0
22,N9_N8,0,13.9,0.0,0,0
23,N1_N2,7,10.175920688021478,0.0,0,0
23,N1_N4,7,10.699687643834965,0.0,0,0
23,N2_N1,0,13.9,0.0,0,0
23,N2_N3,0,13.9,0.0,0,0
23,N2_N5,0,13.9,0.0,0,0
23,N3_N2,0,13.9,0.0,0,0
23,N3_N6,7,12.31907177206005,0.0,0,0
23,N4_N1,0,13.9,0.0,0,0
23,N4_N5,0,13.9,0.0,0,0
23,N4_N7,0,13.9,0.0,0,0
23,N5_N2,0,13.9,0.0,0,0
23,N5_N4,0,13.9,0.0,0,0
23,N5_N6,0,13.9,0.0,0,0
23,N5_N8,0,13.9,0.0,0,0
23,N6_N3,0,13.9,0.0,0,0
23,N6_N5,0,13.9,0.0,0,0
23,N6_N9,0,13.9,0.0,0,0
23,N7_N4,0,13.9,0.0,0,0
23,N7_N8,1,12.952888378326318,0.0,0,0
23,N8_N5,0,13.9,0.0,0,0
23,N8_N7,0,13.9,0.0,0,0
23,N8_N9,0,13.9,0.0,0,0
23,N9_N6,0,13.9,0.0,0,0
23,N9_N8,0,13.9,0.0,0,0
24,N1_N2,7,11.03261794265877,0.0,0,0
24,N1_N4,8,9.71613567823094,0.0,0,0
24,N2_N1,0,13.9,0.0,0,0
24,N2_N3,0,13.9,0.0,0,0
24,N2_N5,0,13.9,0.0,0,0
24,N3_N2,0,13.9,0.0,0,0
24,N3_N6,7,12.654675614489626,0.0,0,0
24,N4_N1,0,13.9,0.0,0,0
24,N4_N5,0,13.9,0.0,0,0
24,N4_N7,0,13.9,0.0,0,0
24,N5_N2,0,13.9,0.0,0,0
24,N5_N4,0,13.9,0.0,0,0
24,N5_N6,0,13.9,0.0,0,0
24,N5_N8,0,13.9,0.0,0,0
24,N6_N3,0,13.9,0.0,0,0
24,N6_N5,0,13.9,0.0,0,0
24,N6_N9,0,13.9,0.0,0,0
24,N7_N4,0,13.9,0.0,0,0
24,N7_N8,1,13.351190490212907,0.0,0,0
24,N8_N5,0,13.9,0.0,0,0
24,N8_N7,0,13.9,0.0,0,0
24,N8_N9,0,13.9,0.0,0,0
24,N9_N6,0,13.9,0.0,0,0
24,N9_N8,0,13.9,0.0,0,0
25,N1_N2,7,11.458293006224494,0.0,0,0
25,N1_N4,8,10.524974393838937,0.0,0,0
25,N2_N1,0,13.9,0.0,0,0
25,N2_N3,0,13.9,0.0,0,0
25,N2_N5,0,13.9,0.0,0,0
25,N3_N2,0,13.9,0.0,0,0
25,N3_N6,8,11.140029669972373,0.0,0,0
25,N4_N1,0,13.9,0.0,0,0
25,N4_N5,0,13.9,0.0,0,0
25,N4_N7,1,13.838439031899906,0.0,0,0
25,N5_N2,0,13.9,0.0,0,0
25,N5_N4,0,13.9,0.0,0,0
25,N5_N6,0,13.9,0.0,0,0
25,N5_N8,0,13.9,0.0,0,0
